SAMPLE NAME,Nnet,Cnet ,ROIAREA,ROIDIAM
F1-3,-0.000117947,0.445655382,0.5630493,0.8466975
F1-3,3.93343E-06,0.355852397,1.373291,1.322319
F1-3,0.000217937,0.195954953,0.9338379,1.090412
F1-3,0.000252138,0.321726332,0.5355835,0.8257881
F1-3,0.000183887,0.264035994,0.9750366,1.114206
F1-3,0.000195805,0.25163059,1.029968,1.145162
F1-3,5.08554E-05,0.302290822,1.153564,1.211926
F1-3,8.59994E-05,0.230978175,0.5081177,0.8043354
F1-3,0.0002562,0.315305157,1.071167,1.167841
F1-3,5.63108E-05,0.331441771,0.8377075,1.032764
F1-3,7.3255E-05,0.368822873,0.5630493,0.8466975
F1-3,0.000207695,0.234196,0.8651733,1.049558
F1-3,0.000113639,0.260058466,1.977539,1.586783
F1-3,0.000250796,0.337170536,1.263428,1.268324
F1-3,0.000268284,0.214919163,1.620483,1.436406
F1-3,0.000268474,0.196561906,2.746582,1.870042
F1-3,0.00010081,0.351756743,0.3982544,0.7120907
F1-3,7.70638E-05,0.364342553,0.7553101,0.9806582
F1-3,0.000119607,0.424979642,1.991272,1.592283
F1-3,0.000178884,0.19740096,1.661682,1.454551
F1-3,0.000277595,0.158196981,2.032471,1.608671
F1-3,0.000393059,0.360624354,0.5493164,0.8363082
F1-3,9.94204E-05,0.328870165,2.018738,1.603227
F1-3,0.000183777,0.284963537,1.538086,1.399411
F1-3,3.63328E-05,0.251627939,1.029968,1.145162
F1-3,0.00029695,0.331599887,0.302124,0.6202227
F1-3,7.61399E-05,0.330475363,1.867676,1.542076
F1-3,0.000284998,0.180424877,1.84021,1.530695
F1-3,5.55739E-05,0.302263758,0.7965088,1.007048
F1-3,1.87468E-05,0.359371227,1.593018,1.424181
F1-3,0.000243268,0.253320707,1.222229,1.247474
F1-3,0.000174996,0.284908258,1.675415,1.460549
F1-3,0.000357991,0.297169897,0.3707886,0.6870973
F1-3,0.000126596,0.272669812,1.895142,1.553373
